date,usd
05/04/2023,19.2347
06/04/2023,19.2612
07/04/2023,19.2708
10/04/2023,19.2679
11/04/2023,19.2727
12/04/2023,19.2966
13/04/2023,19.3232
14/04/2023,19.3418
17/04/2023,19.3712
18/04/2023,19.389
19/04/2023,19.4104
20/04/2023,19.4155
24/04/2023,19.4155
25/04/2023,19.4202
26/04/2023,19.4286
27/04/2023,19.4379
28/04/2023,19.4453
02/05/2023,19.4618
03/05/2023,19.4767
04/05/2023,19.4861
05/05/2023,19.4998
08/05/2023,19.5098
09/05/2023,19.5188
10/05/2023,19.526
11/05/2023,19.5486
12/05/2023,19.5741
15/05/2023,19.6002
16/05/2023,19.674
17/05/2023,19.7154
18/05/2023,19.7692
22/05/2023,19.7963
23/05/2023,19.8404
24/05/2023,19.8627
25/05/2023,19.8957
26/05/2023,19.9386
29/05/2023,19.9872
30/05/2023,20.0814
31/05/2023,20.347
01/06/2023,20.7005
02/06/2023,20.7903
05/06/2023,20.8822
06/06/2023,21.1846
07/06/2023,21.4952
08/06/2023,23.0625
09/06/2023,23.3632
12/06/2023,23.4736
13/06/2023,23.6542
14/06/2023,23.6813
15/06/2023,23.6414
16/06/2023,23.6815
19/06/2023,23.6814
20/06/2023,23.6797
21/06/2023,23.6194
22/06/2023,23.5917
23/06/2023,23.6665
26/06/2023,25.296
27/06/2023,25.8696
03/07/2023,25.8696
04/07/2023,26.0781
05/07/2023,26.0503
06/07/2023,26.0944
07/07/2023,26.0921
10/07/2023,26.085
11/07/2023,26.1033
12/07/2023,26.1191
13/07/2023,26.1569
14/07/2023,26.1665
17/07/2023,26.1917
18/07/2023,26.2861
19/07/2023,26.8716
20/07/2023,26.9448
21/07/2023,26.9362
24/07/2023,26.9428
25/07/2023,26.9697
26/07/2023,26.9748
27/07/2023,26.9768
28/07/2023,26.9794
31/07/2023,26.9879
01/08/2023,26.9808
02/08/2023,26.9814
03/08/2023,26.9868
04/08/2023,26.9983
07/08/2023,27.0031
08/08/2023,27.0137
09/08/2023,27.0306
10/08/2023,27.0378
11/08/2023,27.0464
14/08/2023,27.0546
15/08/2023,27.0656
16/08/2023,27.0707
17/08/2023,27.0741
18/08/2023,27.1169
21/08/2023,27.1094
22/08/2023,27.1763
23/08/2023,27.2165
24/08/2023,27.2226
25/08/2023,27.1425
28/08/2023,26.4536
29/08/2023,26.5749
31/08/2023,26.6242
01/09/2023,26.7138
04/09/2023,26.7264
05/09/2023,26.7831
06/09/2023,26.8087
07/09/2023,26.8183
08/09/2023,26.8531
11/09/2023,26.857
12/09/2023,26.8897
13/09/2023,26.9066
14/09/2023,26.9509
15/09/2023,26.9554
